state	min	max	mean	rates	root	lnL	lnL.p	lnL.h
100	0.000	8.775	0.098	7	NA	88.15	-2.31	-3.08
200	0.000	8.775	0.098	6	NA	86.26	-2.16	-3.24
300	0.000	7.134	0.077	7	NA	90.54	0.00	-0.69
400	0.000	7.134	0.077	7	NA	90.27	-2.31	-3.08
500	0.000	5.619	0.067	7	NA	91.51	-2.31	-3.08
600	0.000	5.619	0.067	6	NA	87.49	1.98	3.43
700	0.000	3.773	0.045	6	NA	87.41	0.00	-0.69
800	0.000	2.187	0.026	5	NA	90.05	0.00	0.00
900	0.000	2.187	0.026	5	NA	91.34	-1.98	-3.43
1000	0.000	2.187	0.026	5	NA	90.05	0.00	-0.18
1100	0.000	2.187	0.026	5	NA	91.51	-1.98	-3.43
1200	0.000	2.536	0.030	5	NA	90.82	1.75	3.66
1300	0.000	2.520	0.030	5	NA	91.22	-1.98	-3.43
1400	0.000	2.520	0.030	6	NA	94.97	-2.16	-3.24
1500	0.000	2.520	0.030	6	NA	93.92	0.00	-0.35
1600	0.000	2.520	0.030	5	NA	91.21	-1.98	-3.43
1700	0.000	2.520	0.030	5	NA	91.23	-1.98	-3.43
1800	0.000	2.520	0.030	5	NA	91.12	-1.98	-3.43
1900	0.000	2.520	0.030	5	NA	89.78	-1.98	-3.43
2000	0.000	1.507	0.018	5	NA	92.15	0.00	-3.28
2100	0.000	1.507	0.019	5	NA	92.06	0.00	-0.69
2200	0.000	1.507	0.019	5	NA	92.33	0.00	0.00
2300	0.000	1.507	0.013	5	NA	92.60	0.00	-0.69
2400	0.000	1.507	0.013	5	NA	92.59	0.00	-0.69
2500	0.000	1.653	0.015	5	NA	91.76	-1.98	-3.43
2600	0.000	1.420	0.013	5	NA	91.86	0.00	-0.69
2700	0.000	1.420	0.017	5	NA	91.18	0.00	-0.35
2800	0.000	1.456	0.017	5	NA	90.61	0.00	-0.05
2900	0.000	1.410	0.016	5	NA	91.03	-1.98	-3.43
3000	0.000	1.410	0.016	5	NA	90.82	-1.98	-3.43
3100	0.000	0.818	0.011	5	NA	91.35	0.00	-0.69
3200	0.000	0.592	0.008	5	NA	91.63	-1.98	-3.43
3300	0.000	0.592	0.008	5	NA	92.12	0.00	-0.54
3400	0.000	0.592	0.008	5	NA	92.13	0.00	-0.69
3500	0.000	1.246	0.014	5	NA	91.53	0.00	-0.69
3600	0.000	1.246	0.014	5	NA	91.53	0.00	-2.07
3700	0.000	1.246	0.014	5	NA	91.06	-1.98	-3.43
3800	0.000	1.141	0.012	5	NA	90.92	0.00	-0.69
3900	0.000	0.867	0.009	5	NA	92.40	0.00	0.00
4000	0.000	0.901	0.009	5	NA	92.34	-1.98	-3.43
4100	0.000	0.741	0.008	5	NA	92.70	0.00	-0.69
4200	0.000	0.677	0.007	5	NA	92.83	0.00	-0.58
4300	0.000	0.592	0.006	5	NA	93.31	0.00	-0.69
4400	0.000	0.592	0.006	5	NA	93.29	-1.98	-3.43
4500	0.000	0.592	0.006	5	NA	93.47	-1.98	-3.43
4600	0.000	0.592	0.006	5	NA	93.11	-1.98	-3.43
4700	0.000	0.777	0.008	5	NA	92.15	0.00	-0.12
4800	0.000	0.777	0.008	5	NA	92.75	-1.98	-3.43
4900	0.000	0.777	0.008	5	NA	92.72	0.00	-0.78
5000	0.000	0.777	0.007	5	NA	92.84	0.00	-0.38
5100	0.000	0.777	0.007	5	NA	92.55	0.00	-0.03
5200	0.000	0.777	0.007	5	NA	93.09	0.00	-0.69
5300	0.000	0.777	0.007	5	NA	92.91	1.75	3.66
5400	0.000	0.777	0.007	5	NA	92.91	-1.98	-3.43
5500	0.000	0.777	0.007	5	NA	90.16	0.00	-0.13
5600	0.000	0.777	0.008	5	NA	92.88	-1.98	-3.43
5700	0.000	0.777	0.008	5	NA	92.07	0.00	-0.12
5800	0.000	0.901	0.009	5	NA	92.65	0.00	-0.10
5900	0.000	0.901	0.010	5	NA	92.23	-1.98	-3.43
6000	0.000	0.733	0.008	5	NA	91.88	-1.98	-3.43
6100	0.000	0.733	0.007	5	NA	92.94	-1.98	-3.43
6200	0.000	0.276	0.003	5	NA	88.98	0.00	-2.05
6300	0.000	0.564	0.006	5	NA	93.59	-1.98	-3.43
6400	0.000	0.564	0.006	5	NA	93.58	-1.98	-3.43
6500	0.000	0.564	0.008	5	NA	93.09	0.00	-0.15
6600	0.000	0.564	0.008	5	NA	93.10	0.00	-0.69
6700	0.000	0.619	0.009	5	NA	92.63	0.00	-1.70
6800	0.000	2.400	0.021	5	NA	91.52	-1.98	-3.43
6900	0.000	2.400	0.021	5	NA	91.52	0.00	-0.69
7000	0.000	2.103	0.019	5	NA	91.13	0.00	-3.55
7100	0.000	2.194	0.019	6	NA	91.27	0.00	-0.66
7200	0.000	0.951	0.010	6	NA	87.99	-2.16	-3.24
7300	0.000	0.951	0.010	5	NA	93.26	0.00	-0.31
7400	0.000	0.951	0.010	5	NA	93.25	-1.98	-3.43
7500	0.000	0.951	0.010	5	NA	93.31	0.00	-1.29
7600	0.000	0.951	0.010	6	NA	92.28	-2.16	-3.24
7700	0.000	0.951	0.011	6	NA	92.85	0.00	-0.69
7800	0.000	0.951	0.011	7	NA	94.86	0.00	-0.69
7900	0.000	0.628	0.007	6	NA	93.29	0.00	0.00
8000	0.000	0.628	0.008	6	NA	93.49	-2.16	-3.24
8100	0.000	0.628	0.008	6	NA	90.13	0.00	-0.69
8200	0.000	0.628	0.008	6	NA	93.36	-2.16	-3.24
8300	0.000	0.563	0.008	5	NA	95.54	0.00	-0.65
8400	0.000	0.449	0.007	4	NA	95.33	0.00	-1.73
8500	0.000	0.449	0.007	6	NA	100.81	-2.16	-3.24
8600	0.000	0.449	0.006	6	NA	98.40	-2.16	-3.24
8700	0.000	0.449	0.006	6	NA	101.21	0.00	-0.69
8800	0.000	0.266	0.003	5	NA	99.62	0.00	-0.69
8900	0.000	0.266	0.003	5	NA	99.62	-1.98	-3.43
9000	0.000	0.266	0.003	5	NA	98.04	0.00	-0.57
9100	0.000	0.266	0.003	5	NA	95.97	-1.98	-3.43
9200	0.000	0.257	0.003	5	NA	97.81	0.00	-0.71
9300	0.000	0.257	0.003	5	NA	100.00	0.00	-0.69
9400	0.000	0.348	0.004	4	NA	96.39	-1.75	-3.66
9500	0.000	0.348	0.004	4	NA	94.16	0.00	-0.69
9600	0.000	0.617	0.008	4	NA	95.52	-1.75	-3.66
9700	0.000	0.617	0.008	4	NA	95.50	0.00	-0.37
9800	0.000	0.520	0.007	4	NA	95.57	-1.75	-3.66
9900	0.000	0.520	0.007	4	NA	95.74	-1.75	-3.66
10000	0.000	0.520	0.007	4	NA	95.87	-1.75	-3.66
