state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
10000	0.000	0.000	0.000	0	0	0.000	0.026	-0.030	104.03	-1107.73	-0.00	0.00
20000	0.000	0.000	0.000	0	0	0.000	0.011	-0.024	105.53	-1107.73	0.00	0.00
30000	0.000	0.000	0.000	0	0	0.000	0.000	-0.088	108.71	-1107.73	0.00	0.00
40000	0.000	0.000	0.000	0	0	0.000	0.004	0.025	109.78	-1107.73	-0.00	0.00
50000	0.000	0.000	0.000	0	0	0.000	0.005	-0.025	109.32	-1107.73	-0.00	0.00
60000	0.000	0.000	0.000	0	0	0.000	0.001	0.049	109.56	-1107.73	0.00	0.00
70000	0.000	0.000	0.000	0	0	0.000	0.002	0.062	108.45	-1107.73	-0.00	0.00
80000	0.000	0.000	0.000	0	0	0.000	0.001	-0.036	110.28	-1107.73	-0.00	0.00
90000	0.000	0.000	0.000	0	0	0.000	0.018	0.084	104.08	-1107.73	0.00	0.00
100000	0.000	0.000	0.000	0	0	0.000	0.019	0.018	107.11	-1107.73	0.00	0.00
110000	0.000	0.000	0.000	0	0	0.000	0.006	-0.036	109.47	-1107.73	0.00	0.36
120000	0.000	0.000	0.000	0	0	0.000	0.008	0.036	107.33	-1107.73	0.00	0.00
130000	0.000	0.000	0.000	0	0	0.000	0.002	0.066	106.57	-1107.73	-0.00	0.00
140000	0.000	0.000	0.000	0	0	0.000	0.004	-0.040	109.47	-1107.73	0.00	0.00
150000	0.000	0.000	0.000	0	0	0.000	0.003	-0.027	110.11	-1107.73	0.00	0.00
160000	0.000	0.000	0.000	0	0	0.000	0.007	0.023	108.48	-1107.73	0.00	0.00
170000	0.000	0.000	0.000	0	0	0.000	0.007	-0.033	109.43	-1107.73	-0.00	0.00
180000	0.000	0.000	0.000	0	0	0.000	0.001	-0.064	108.65	-1107.73	0.00	0.23
190000	0.000	0.000	0.000	0	0	0.000	0.004	-0.032	107.96	-1107.73	0.00	0.00
200000	0.000	0.000	0.000	0	0	0.000	0.003	-0.091	108.13	-1107.73	-0.00	0.00
210000	0.000	0.000	0.000	0	0	0.000	0.003	0.005	109.52	-1107.73	0.00	-0.07
220000	0.000	0.000	0.000	0	0	0.000	0.002	-0.100	108.03	-1107.73	0.00	0.00
230000	0.000	0.000	0.000	0	0	0.000	0.005	0.007	109.28	-1107.73	-0.00	0.14
240000	0.000	0.000	0.000	0	0	0.000	0.025	0.050	105.51	-1107.73	-0.00	0.00
250000	0.000	0.000	0.000	0	0	0.000	0.002	-0.095	106.11	-1107.73	0.00	0.00
260000	0.000	0.000	0.000	0	0	0.000	0.019	0.001	107.31	-1107.73	0.00	0.00
270000	0.000	0.000	0.000	0	0	0.000	0.001	-0.018	110.05	-1107.73	0.00	0.00
280000	0.000	0.000	0.000	0	0	0.000	0.001	-0.059	109.66	-1107.73	0.00	0.00
290000	0.000	0.000	0.000	0	0	0.000	0.024	0.035	106.11	-1107.73	0.00	0.00
300000	0.000	0.000	0.000	0	0	0.000	0.009	0.030	108.33	-1107.73	-0.00	0.00
310000	0.000	0.000	0.000	0	0	0.000	0.002	-0.007	110.10	-1107.73	0.00	0.00
320000	0.000	0.000	0.000	0	0	0.000	0.000	-0.028	110.42	-1107.73	0.00	-0.32
330000	0.000	0.000	0.000	0	0	0.000	0.004	0.007	109.19	-1107.73	0.00	0.00
340000	0.000	0.000	0.000	0	0	0.000	0.001	-0.047	108.78	-1107.73	-0.00	0.00
350000	0.000	0.000	0.000	0	0	0.000	0.019	-0.015	107.70	-1107.73	-0.00	0.00
360000	0.000	0.000	0.000	0	0	0.000	0.000	-0.054	109.92	-1107.73	0.00	0.00
370000	0.000	0.000	0.000	0	0	0.000	0.013	0.000	108.56	-1107.73	-0.00	0.00
