Id	PC1	PC2	PC3																																
Alopias_superciliosus	0.10136428	-0.020690356	-0.011300966																																
Alopias_vulpinus	0.077525479	-0.012393439	0.001679235																																
Apristurus_laurussonii	0.012619539	0.024507623	-0.091326435																																
Atelomycterus_macleayi	-0.065845806	-0.03673239	-0.139357166																																
Atelomycterus_marmoratus	-0.065197499	-0.047887526	-0.112544288																																
Brachaelurus_waddi	-0.236098886	0.013644515	-0.085919312																																
Carcharhinus_acronotus	0.04587289	-0.063121563	0.033434502																																
Carcharhinus_amboinensis	0.096905777	0.021930301	0.013886393																																
Carcharhinus_dussumieri	0.072016808	0.010070795	-0.019241537																																
Carcharhinus_falciformis	0.079480019	-0.072396529	-0.006455907																																
Carcharhinus_hemiodon	0.091110595	-0.019316475	0.01667089																																
Carcharhinus_leucas	0.050310591	-0.024345456	0.040964228																																
Carcharhinus_macloti	5.07E-04	0.002969028	-0.033296653																																
Carcharhinus_melanopterus	0.074115906	-0.026221665	0.019110227																																
Carcharias_taurus	0.040104508	-0.028877402	0.021979038																																
Carcharodon_carcharias	0.006034941	-0.081000393	0.144604142																																
Centrophorus_seychellorum	-0.011653852	0.093454443	0.006295256																																
Centrophorus_uyato	0.013994997	0.112270704	0.007603693																																
Centroscymnus_coelolepis	-0.027739902	0.186909927	0.026785888																																
Centroscymnus_crepidater	0.023032823	0.137815633	-0.043484927																																
Cephaloscyllium_ventriosum	0.04459279	-0.008146174	-0.074741701																																
Cetorhinus_maximus	0.164861829	0.09211329	-0.026500706																																
Chaenogaleus_macrostoma	0.005637088	-0.031344234	-0.03302301																																
Chiloscyllium_arabicum	-0.207838314	-0.01166854	0.011047882																																
Chiloscyllium_griseum	-0.223501092	-0.040255233	-5.22E-04																																
Chiloscyllium_hasseltii	-0.223206047	-0.016985934	0.044120355																																
Chiloscyllium_indicum	-0.210294455	-0.003414703	-0.01403962																																
Chiloscyllium_punctatum	-0.248836616	-0.020784951	-0.03500324																																
Chlamydoselachus_anguineus	0.171450795	-0.004545825	-0.058483911																																
Dalatias_licha	-0.119035708	0.146425696	0.204127323																																
Deania_calcea	-0.005103292	0.095786018	-0.021103753																																
Echinorhinus_brucus	0.067605418	0.03390716	-0.057745598																																
Etmopterus_spinax	0.078340986	0.118544372	-0.088532403																																
Eucrossorhinus_dasypogon	-0.156894161	0.044515608	-0.034751665																																
