Species	Order	Prey
Alopias_superciliosus	Lamniformes	1
Alopias_vulpinus	Lamniformes	1
Apristurus_laurussonii	Carcharhiniformes	5
Atelomycterus_marmoratus	Carcharhiniformes	5
Brachaelurus_waddi	Orectolobiformes	5
Carcharhinus_acronotus	Carcharhiniformes	1
Carcharhinus_amboinensis	Carcharhiniformes	1
Carcharhinus_brachyurus	Carcharhiniformes	1
Carcharhinus_dussumieri	Carcharhiniformes	1
Carcharhinus_falciformis	Carcharhiniformes	1
Carcharhinus_galapagensis	Carcharhiniformes	1
Carcharhinus_hemiodon	Carcharhiniformes	5
Carcharhinus_leucas	Carcharhiniformes	1
Carcharhinus_macloti	Carcharhiniformes	1
Carcharhinus_melanopterus	Carcharhiniformes	1
Carcharias_taurus	Lamniformes	1
Carcharodon_carcharias	Lamniformes	1
Centrophorus_uyato	Squaliformes	1
Centroscymnus_coelolepis	Squaliformes	1
Centroscymnus_crepidater	Squaliformes	1
Cephaloscyllium_ventriosum	Carcharhiniformes	1
Cetorhinus_maximus	Lamniformes	4
Chaenogaleus_macrostoma	Carcharhiniformes	5
Chiloscyllium_arabicum	Orectolobiformes	5
Chiloscyllium_griseum	Orectolobiformes	5
Chiloscyllium_hasseltii	Orectolobiformes	2
Chiloscyllium_indicum	Orectolobiformes	1
Chiloscyllium_punctatum	Orectolobiformes	2
Chlamydoselachus_anguineus	Hexanchiformes	1
Dalatias_licha	Squaliformes	1
Deania_calcea	Squaliformes	1
Echinorhinus_brucus	Echinorhiniformes	3
Etmopterus_spinax	Squaliformes	5
Eucrossorhinus_dasypogon	Orectolobiformes	1
Euprotomicrus_bispinatus	Squaliformes	1
Eusphyra_blochii	Carcharhiniformes	1
Galeocerdo_cuvier	Carcharhiniformes	5
Galeorhinus_galeus	Carcharhiniformes	1
Galeus_melastomus	Carcharhiniformes	5
Ginglymostoma_cirratum	Orectolobiformes	5
Halaelurus_buergeri	Carcharhiniformes	1
Hemigaleus_microstoma	Carcharhiniformes	1
Hemiscyllium_trispeculare	Orectolobiformes	2
Heptranchias_perlo	Hexanchiformes	1
Heterodontus_francisci	Heterodontiformes	3
Heterodontus_japonicus	Heterodontiformes	3
Hexanchus_griseus	Hexanchiformes	1
Isistius_brasiliensis	Squaliformes	1
Isogomphodon_oxyrhynchus	Carcharhiniformes	1
Isurus_oxyrinchus	Lamniformes	1
Isurus_paucus	Lamniformes	1
Lamna_ditropis	Lamniformes	1
Lamna_nasus	Lamniformes	1
Mitsukurina_owstoni	Lamniformes	1
Mustelus_asterias	Carcharhiniformes	3
Mustelus_henlei	Carcharhiniformes	5
Mustelus_higmani	Carcharhiniformes	3
Mustelus_mustelus	Carcharhiniformes	3
Nebrius_ferrugineus	Orectolobiformes	1
Negaprion_acutidens	Carcharhiniformes	1
Orectolobus_japonicus	Orectolobiformes	1
Orectolobus_maculatus	Orectolobiformes	1
Orectolobus_ornatus	Orectolobiformes	1
Oxynotus_centrina	Squaliformes	2
Prionace_glauca	Carcharhiniformes	1
Pristiophorus_japonicus	Pristiophoriformes	5
Proscyllium_habereri	Carcharhiniformes	1
Pseudocarcharias_kamoharai	Lamniformes	5
Rhizoprionodon_terraenovae	Carcharhiniformes	1
Scoliodon_laticaudus	Carcharhiniformes	3
Scyliorhinus_canicula	Carcharhiniformes	3
Scyliorhinus_stellaris	Carcharhiniformes	1
Scymnodalatias_albicauda	Squaliformes	1
Sphyrna_lewini	Carcharhiniformes	1
Sphyrna_mokarran	Carcharhiniformes	1
Sphyrna_tiburo	Carcharhiniformes	3
Sphyrna_tudes	Carcharhiniformes	1
Sphyrna_zygaena	Carcharhiniformes	1
Squalus_acanthias	Squaliformes	1
Squalus_cubensis	Squaliformes	1
Squalus_megalops	Squaliformes	1
Squatina_africana	Squatiniformes	1
Squatina_squatina	Squatiniformes	1
Stegostoma_fasciatum	Orectolobiformes	3
Triaenodon_obesus	Carcharhiniformes	1
Triakis_semifasciata	Carcharhiniformes	5
