ID	Genus	Species	Family	Order	Sexe	Age	Habitat_5_classes	Habitat_code_5_classes	Habitat_3_classes	Habitat_code_3_classes	Prey_7_classes	Prey_code_7_classes	Prey_5_classes	Prey_code_5_classes	Feeding ref.	Ontogenetic shift
UF 160188	Alopias	Alopias_superciliosus	Alopiidae	Lamniformes	NA	NA	pelagic	3	pelagic	3	fish	1	fish_&_cephalopoda	1	"Cortes 1999 (cephalopods 65,2%, n=20); Polo-Silva et al. 2007 (fish 86 %IRI, n=107); Preti et al. 2008 (fish 86.14 %IRI, n=23)"	
ZMA111198	Alopias	Alopias_vulpinus	Alopiidae	Lamniformes	f	juv	pelagic	3	pelagic	3	fish	1	fish_&_cephalopoda	1	"Cortes 1999 (cephalopods 71,8%, n=388); Preti et al. 2001 (fish 99 %IRI, n=107)"	
ZMA116876	Alopias	Alopias_vulpinus	Alopiidae	Lamniformes	f	juv	pelagic	3	pelagic	3	fish	1	fish_&_cephalopoda	1	"Cortes 1999 (cephalopods 71,8%, n=388); Preti et al. 2001 (fish 99 %IRI, n=107)"	
BMNH 1987.1.21.3	Apristurus	Apristurus_laurussonii	Scyliorhinidae	Carcharhiniformes	m	NA	bathydemersal	4	demersal	2	generalist	3	generalist	5	Ebert et al. 2013 (crustaceans, cephalopods, small bottom dwelling fish)	
34078b	Atelomycterus	Atelomycterus_macleayi	Scyliorhinidae	Carcharhiniformes	f	ad	reef	1	reef	1	NA	NA	NA	NA	NA	
34078c	Atelomycterus	Atelomycterus_macleayi	Scyliorhinidae	Carcharhiniformes	m	ad	reef	1	reef	1	NA	NA	NA	NA	NA	
33990	Atelomycterus	Atelomycterus_marmoratus	Scyliorhinidae	Carcharhiniformes	f	ad	reef	1	reef	1	generalist	3	generalist	5	Ebert et al. 2013 (molluscs, crustacea, small fishes)	
34027	Atelomycterus	Atelomycterus_marmoratus	Scyliorhinidae	Carcharhiniformes	f	ad	reef	1	reef	1	generalist	3	generalist	5	Ebert et al. 2013 (molluscs, crustacea, small fishes)	
34024b	Atelomycterus	Atelomycterus_marmoratus	Scyliorhinidae	Carcharhiniformes	m	ad	reef	1	reef	1	generalist	3	generalist	5	Ebert et al. 2013 (molluscs, crustacea, small fishes)	
7397b	Atelomycterus	Atelomycterus_marmoratus	Scyliorhinidae	Carcharhiniformes	m	ad	reef	1	reef	1	generalist	3	generalist	5	Ebert et al. 2013 (molluscs, crustacea, small fishes)	
BMNH 1890.9.23.233	Brachaelurus	Brachaelurus_waddi	Brachaeluridae	Orectolobiformes	m	ad	reef	1	reef	1	generalist	3	generalist	5	Compagno 2001 (crabs, shrimp, cuttlefish, squid, sea anemones, small fish)	
MM C.acr	Carcharhinus	Carcharhinus_acronotus	Carcharhinidae	Carcharhiniformes	NA	NA	reef	1	reef	1	fish	1	fish_&_cephalopoda	1	Cortes 1999 (fish 98,2%, n=13)	
4264	Carcharhinus	Carcharhinus_amboinensis	Carcharhinidae	Carcharhiniformes	f	juv	reef	1	reef	1	fish	1	fish_&_cephalopoda	1	Cortes 1999 (fish 56.3%, chon 28%, n=136)	
SIO 50-200	Carcharhinus	Carcharhinus_brachyurus	Carcharhinidae	Carcharhiniformes	NA	juv	reef	1	reef	1	fish	1	fish_&_cephalopoda	1	"Cortes 1999 (fish 78,9 %, cephalopods 19%, n=4); Lucifora et al. 2009 (fish juv 99%M, n=89, fish adult 99%M, n=60); Smale 1991; Cliff & Dudley 1992"	
7375	Carcharhinus	Carcharhinus_dussumieri	Carcharhinidae	Carcharhiniformes	m	ad	reef	1	reef	1	fish	1	fish_&_cephalopoda	1	Cortes 1999 (fish 58,8%, n=636)	
ZMA108686	Carcharhinus	Carcharhinus_falciformis	Carcharhinidae	Carcharhiniformes	f	ad	reef	1	reef	1	fish	1	fish_&_cephalopoda	1	"Cortes 1999 (fish 63,8%, cephalopoda 32,7%, n=47); Cabrera-Chavez-Costa et al. 2010 (crustacea 83 %IRI n=19; cephalopoda 43,2 % IRI, fish 32%IR n=123); Duffy et al. 2015 (fish 89,3%Wi n=440); Filmalter et al. 2016 (fish 54,5 Mr%, cephalopods 10,6 Mr% n=183)"	
