"","specimen","Prey"
"1","Alopias_superciliosus","fish_&_cephalopoda"
"2","Alopias_vulpinus","fish_&_cephalopoda"
"3","Apristurus_laurussonii","generalist"
"4","Atelomycterus_marmoratus","generalist"
"5","Brachaelurus_waddi","generalist"
"6","Carcharhinus_acronotus","fish_&_cephalopoda"
"7","Carcharhinus_amboinensis","fish_&_cephalopoda"
"8","Carcharhinus_brachyurus","fish_&_cephalopoda"
"9","Carcharhinus_dussumieri","fish_&_cephalopoda"
"10","Carcharhinus_falciformis","fish_&_cephalopoda"
"11","Carcharhinus_galapagensis","fish_&_cephalopoda"
"12","Carcharhinus_hemiodon","generalist"
"13","Carcharhinus_leucas","fish_&_cephalopoda"
"14","Carcharhinus_macloti","fish_&_cephalopoda"
"15","Carcharhinus_melanopterus","fish_&_cephalopoda"
"16","Carcharias_taurus","fish_&_cephalopoda"
"17","Carcharodon_carcharias","fish_&_cephalopoda"
"18","Centrophorus_uyato","fish_&_cephalopoda"
"19","Centroscymnus_coelolepis","fish_&_cephalopoda"
"20","Centroscymnus_crepidater","fish_&_cephalopoda"
"21","Cephaloscyllium_ventriosum","fish_&_cephalopoda"
"22","Cetorhinus_maximus","zooplankton"
"23","Chaenogaleus_macrostoma","generalist"
"24","Chiloscyllium_arabicum","generalist"
"25","Chiloscyllium_griseum","generalist"
"26","Chiloscyllium_hasseltii","Soft-bodied_benthic_invertebrates"
"27","Chiloscyllium_indicum","fish_&_cephalopoda"
"28","Chiloscyllium_punctatum","Soft-bodied_benthic_invertebrates"
"29","Chlamydoselachus_anguineus","fish_&_cephalopoda"
"30","Dalatias_licha","fish_&_cephalopoda"
"31","Deania_calcea","fish_&_cephalopoda"
"32","Echinorhinus_brucus","decapoda_&_mollusca"
"33","Etmopterus_spinax","generalist"
"34","Eucrossorhinus_dasypogon","fish_&_cephalopoda"
"35","Euprotomicrus_bispinatus","fish_&_cephalopoda"
"36","Eusphyra_blochii","fish_&_cephalopoda"
"37","Galeocerdo_cuvier","generalist"
"38","Galeorhinus_galeus","fish_&_cephalopoda"
"39","Galeus_melastomus","generalist"
"40","Ginglymostoma_cirratum","generalist"
"41","Halaelurus_buergeri","fish_&_cephalopoda"
"42","Hemigaleus_microstoma","fish_&_cephalopoda"
"43","Hemiscyllium_trispeculare","Soft-bodied_benthic_invertebrates"
"44","Heptranchias_perlo","fish_&_cephalopoda"
"45","Heterodontus_francisci","decapoda_&_mollusca"
"46","Heterodontus_japonicus","decapoda_&_mollusca"
"47","Hexanchus_griseus","fish_&_cephalopoda"
"48","Isistius_brasiliensis","fish_&_cephalopoda"
"49","Isogomphodon_oxyrhynchus","fish_&_cephalopoda"
"50","Isurus_oxyrinchus","fish_&_cephalopoda"
"51","Isurus_paucus","fish_&_cephalopoda"
"52","Lamna_ditropis","fish_&_cephalopoda"
"53","Lamna_nasus","fish_&_cephalopoda"
"54","Mitsukurina_owstoni","fish_&_cephalopoda"
"55","Mustelus_asterias","decapoda_&_mollusca"
"56","Mustelus_henlei","generalist"
"57","Mustelus_higmani","decapoda_&_mollusca"
"58","Mustelus_mustelus","decapoda_&_mollusca"
"59","Nebrius_ferrugineus","fish_&_cephalopoda"
"60","Negaprion_acutidens","fish_&_cephalopoda"
"61","Orectolobus_japonicus","fish_&_cephalopoda"
"62","Orectolobus_maculatus","fish_&_cephalopoda"
"63","Orectolobus_ornatus","fish_&_cephalopoda"
"64","Oxynotus_centrina","Soft-bodied_benthic_invertebrates"
"65","Prionace_glauca","fish_&_cephalopoda"
"66","Pristiophorus_japonicus","generalist"
"67","Proscyllium_habereri","fish_&_cephalopoda"
"68","Pseudocarcharias_kamoharai","generalist"
"69","Rhizoprionodon_terraenovae","fish_&_cephalopoda"
"70","Scoliodon_laticaudus","decapoda_&_mollusca"
"71","Scyliorhinus_canicula","decapoda_&_mollusca"
"72","Scyliorhinus_stellaris","fish_&_cephalopoda"
"73","Scymnodalatias_albicauda","fish_&_cephalopoda"
"74","Sphyrna_lewini","fish_&_cephalopoda"
"75","Sphyrna_mokarran","fish_&_cephalopoda"
"76","Sphyrna_tiburo","decapoda_&_mollusca"
"77","Sphyrna_tudes","fish_&_cephalopoda"
"78","Sphyrna_zygaena","fish_&_cephalopoda"
"79","Squalus_acanthias","fish_&_cephalopoda"
"80","Squalus_cubensis","fish_&_cephalopoda"
"81","Squalus_megalops","fish_&_cephalopoda"
"82","Squatina_africana","fish_&_cephalopoda"
"83","Squatina_squatina","fish_&_cephalopoda"
"84","Stegostoma_fasciatum","decapoda_&_mollusca"
"85","Triaenodon_obesus","fish_&_cephalopoda"
"86","Triakis_semifasciata","generalist"
