state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
10	0.000	0.000	0.000	0	0	0.000	0.387	-0.015	-1.44	-1107.73	0.00	0.00
20	0.000	0.000	0.000	0	1	0.000	0.321	-0.015	12.20	-1108.76	-0.00	0.00
30	0.000	0.000	0.000	0	0	0.000	0.321	-0.015	12.17	-1107.73	-0.00	0.00
40	0.000	0.000	0.000	0	0	0.000	0.160	-0.024	55.99	-1107.73	0.00	0.00
50	0.000	0.000	0.000	0	0	0.000	0.160	-0.024	55.95	-1107.73	-0.00	0.00
60	0.000	0.000	0.000	0	1	0.000	0.160	-0.024	56.27	-1108.76	-0.00	0.00
70	0.000	0.000	0.000	0	1	0.000	0.160	-0.024	58.11	-1108.76	-1.04	0.00
80	0.000	0.000	0.000	0	0	0.000	0.036	-0.024	76.05	-1107.73	-0.00	0.00
90	0.000	0.000	0.000	0	1	0.000	0.036	-0.024	86.96	-1108.76	0.00	0.00
100	0.000	0.000	0.000	0	1	0.000	0.036	-0.024	93.97	-1108.76	-1.04	0.00
110	0.000	0.000	0.000	0	2	0.000	0.036	-0.024	98.32	-1109.46	0.00	0.00
120	0.000	0.000	0.000	0	2	0.000	0.036	-0.024	101.01	-1109.46	0.00	0.00
130	0.000	0.000	0.000	0	4	0.000	0.036	-0.024	105.01	-1110.15	0.00	0.00
140	0.000	0.000	0.000	0	2	0.000	0.036	-0.024	105.78	-1109.46	0.41	0.00
150	0.000	0.000	0.000	0	2	0.017	0.036	-0.024	104.98	-1109.46	0.00	0.00
160	0.000	0.000	0.000	0	2	0.017	0.036	-0.024	106.03	-1109.46	0.69	0.00
170	0.000	0.000	0.000	0	2	0.032	0.036	-0.024	105.38	-1109.46	0.00	0.00
180	0.000	0.000	0.000	0	2	0.028	0.036	-0.024	105.36	-1109.46	-0.00	0.31
190	0.000	0.000	0.000	0	1	0.028	0.036	-0.024	102.07	-1108.76	0.00	0.00
200	0.000	0.000	0.000	0	1	0.242	0.036	-0.024	101.65	-1108.76	0.00	-0.26
210	0.000	0.000	0.000	0	0	0.000	0.036	-0.024	104.25	-1107.73	1.04	0.00
220	0.000	0.000	0.000	0	0	0.000	0.036	-0.016	104.21	-1107.73	0.00	0.00
230	0.000	0.000	0.000	0	0	0.000	0.036	-0.016	104.36	-1107.73	-0.00	0.00
240	0.000	0.000	0.000	0	0	0.000	0.036	-0.016	104.44	-1107.73	-0.00	0.00
250	0.000	0.000	0.000	0	0	0.000	0.025	-0.016	106.59	-1107.73	0.00	-0.39
260	0.000	0.000	0.000	0	0	0.000	0.025	-0.023	106.60	-1107.73	-1.04	0.00
270	0.000	0.000	0.000	0	0	0.000	0.019	-0.023	107.72	-1107.73	-1.04	0.00
280	0.000	0.000	0.000	0	0	0.000	0.019	-0.023	107.63	-1107.73	0.00	0.00
290	0.000	0.000	0.000	0	0	0.000	0.019	-0.023	107.72	-1107.73	-0.00	0.00
300	0.000	0.000	0.000	0	0	0.000	0.016	-0.023	106.51	-1107.73	-0.00	0.00
310	0.000	0.000	0.000	0	0	0.000	0.013	-0.023	108.47	-1107.73	-0.00	0.00
320	0.000	0.000	0.000	0	0	0.000	0.016	-0.023	108.15	-1107.73	0.00	0.00
330	0.000	0.000	0.000	0	1	0.925	0.016	-0.023	109.66	-1108.76	0.00	0.00
340	0.000	0.000	0.000	0	0	0.000	0.016	-0.023	107.71	-1107.73	-0.00	0.00
350	0.000	0.000	0.000	0	0	0.000	0.010	-0.023	108.79	-1107.73	0.00	-0.16
