state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
10000	0.000	0.000	0.000	0	0	0.000	0.000	0.043	115.79	-1149.17	0.00	-12.60
20000	0.000	0.000	0.000	0	0	0.000	0.012	-0.030	115.00	-1149.17	0.00	-12.71
30000	0.000	0.000	0.000	0	0	0.000	0.003	-0.009	116.61	-1149.17	0.00	-13.09
40000	0.000	0.000	0.000	0	0	0.000	0.005	-0.052	116.51	-1149.17	0.00	0.00
50000	0.000	0.000	0.000	0	0	0.000	0.001	0.003	117.11	-1149.17	-0.00	0.00
60000	0.000	0.000	0.000	0	0	0.000	0.004	0.016	115.75	-1149.17	0.00	0.00
70000	0.000	0.000	0.000	0	0	0.000	0.001	-0.043	117.07	-1149.17	0.00	0.00
80000	0.000	0.000	0.000	0	0	0.000	0.002	0.025	117.48	-1149.17	-0.00	0.00
90000	0.000	0.000	0.000	0	0	0.000	0.014	0.025	115.19	-1149.17	0.00	0.00
100000	0.000	0.000	0.000	0	0	0.000	0.002	-0.009	117.78	-1149.17	0.00	-12.88
110000	0.000	0.000	0.000	0	0	0.000	0.008	0.015	116.46	-1149.17	0.00	-12.90
120000	0.000	0.000	0.000	0	0	0.000	0.001	-0.087	115.90	-1149.17	0.00	-12.93
130000	0.000	0.000	0.000	0	0	0.000	0.005	-0.023	116.60	-1149.17	0.00	-12.72
140000	0.000	0.000	0.000	0	0	0.000	0.004	-0.020	117.37	-1149.17	0.00	-12.85
150000	0.000	0.000	0.000	0	0	0.000	0.001	0.079	115.65	-1149.17	0.00	0.00
160000	0.000	0.000	0.000	0	0	0.000	0.002	0.043	114.77	-1149.17	0.00	-13.18
170000	0.000	0.000	0.000	0	0	0.000	0.002	-0.071	115.95	-1149.17	0.00	-12.69
180000	0.000	0.000	0.000	0	0	0.000	0.007	0.038	114.89	-1149.17	0.00	0.00
190000	0.000	0.000	0.000	0	0	0.000	0.002	-0.024	117.54	-1149.17	0.00	-12.98
200000	0.000	0.000	0.000	0	0	0.000	0.002	-0.017	117.58	-1149.17	0.00	0.00
210000	0.000	0.000	0.000	0	0	0.000	0.001	0.091	114.27	-1149.17	-0.00	0.00
220000	0.000	0.000	0.000	0	0	0.000	0.002	0.073	115.35	-1149.17	0.00	-12.99
230000	0.000	0.000	0.000	0	0	0.000	0.003	0.068	115.82	-1149.17	0.00	-12.75
240000	0.000	0.000	0.000	0	0	0.000	0.006	0.022	116.64	-1149.17	0.00	-12.97
250000	0.000	0.000	0.000	0	0	0.000	0.001	-0.122	114.14	-1149.17	0.00	-12.74
260000	0.000	0.000	0.000	0	0	0.000	0.005	0.052	115.95	-1149.17	0.00	-12.75
270000	0.000	0.000	0.000	0	0	0.000	0.006	0.013	116.90	-1149.17	0.00	-12.87
280000	0.000	0.000	0.000	0	0	0.000	0.001	-0.027	116.35	-1149.17	0.00	-12.61
290000	0.000	0.000	0.000	0	0	0.000	0.001	0.004	117.75	-1149.17	0.00	0.00
300000	0.000	0.000	0.000	0	0	0.000	0.015	0.099	111.72	-1149.17	0.00	0.00
310000	0.000	0.000	0.000	0	0	0.000	0.005	0.022	115.27	-1149.17	0.00	0.00
320000	0.000	0.000	0.000	0	0	0.000	0.017	-0.073	113.43	-1149.17	0.00	-13.03
330000	0.000	0.000	0.000	0	0	0.000	0.006	0.001	116.83	-1149.17	0.00	0.00
340000	0.000	0.000	0.000	0	0	0.000	0.005	-0.049	115.76	-1149.17	0.00	0.00
350000	0.000	0.000	0.000	0	0	0.000	0.000	-0.019	117.88	-1149.17	-0.00	0.00
360000	0.000	0.000	0.000	0	0	0.000	0.005	0.040	116.28	-1149.17	0.00	0.00
370000	0.000	0.000	0.000	0	0	0.000	0.005	0.033	114.60	-1149.17	-0.00	0.00
380000	0.000	0.000	0.000	0	0	0.000	0.001	0.009	117.38	-1149.17	0.00	0.00
390000	0.000	0.000	0.000	0	0	0.000	0.003	-0.045	114.93	-1149.17	0.00	0.00
400000	0.000	0.000	0.000	0	0	0.000	0.001	-0.012	117.56	-1149.17	0.00	-13.00
410000	0.000	0.000	0.000	0	0	0.000	0.001	0.079	115.17	-1149.17	0.00	-12.67
420000	0.000	0.000	0.000	0	0	0.000	0.000	-0.042	117.38	-1149.17	0.00	-12.97
430000	0.000	0.000	0.000	0	0	0.000	0.002	0.052	116.53	-1149.17	0.00	0.00
440000	0.000	0.000	0.000	0	0	0.000	0.003	-0.003	117.24	-1149.17	0.00	-12.78
450000	0.000	0.000	0.000	0	0	0.000	0.007	-0.060	116.06	-1149.17	-1.06	0.00
460000	0.000	0.000	0.000	0	0	0.000	0.006	0.039	116.30	-1149.17	0.00	-12.78
470000	0.000	0.000	0.000	0	0	0.000	0.005	-0.071	116.03	-1149.17	-1.05	0.00
480000	0.000	0.000	0.000	0	0	0.000	0.010	-0.040	115.88	-1149.17	-0.00	0.29
490000	0.000	0.000	0.000	0	1	11.294	0.015	-0.010	111.18	-1150.24	0.00	-12.73
500000	0.000	0.000	0.000	0	0	0.000	0.002	0.063	116.32	-1149.17	0.00	-12.87
510000	0.000	0.000	0.000	0	0	0.000	0.002	-0.044	117.00	-1149.17	0.00	0.00
520000	0.000	0.000	0.000	0	0	0.000	0.003	0.035	115.02	-1149.17	0.00	-12.54
530000	0.000	0.000	0.000	0	0	0.000	0.004	-0.033	117.08	-1149.17	0.00	-12.97
540000	0.000	0.000	0.000	0	0	0.000	0.002	-0.102	115.13	-1149.17	0.00	0.00
550000	0.000	0.000	0.000	0	0	0.000	0.002	0.058	115.81	-1149.17	-0.00	0.00
560000	0.000	0.000	0.000	0	0	0.000	0.003	-0.001	117.47	-1149.17	0.00	-12.82
570000	0.000	0.000	0.000	0	0	0.000	0.004	0.015	116.77	-1149.17	-0.00	0.00
580000	0.000	0.000	0.000	0	0	0.000	0.009	0.023	115.88	-1149.17	0.00	0.00
590000	0.000	0.000	0.000	0	0	0.000	0.002	0.011	116.84	-1149.17	-0.00	0.00
600000	0.000	0.000	0.000	0	0	0.000	0.006	0.054	115.74	-1149.17	-1.06	0.00
610000	0.000	0.000	0.000	0	0	0.000	0.002	0.008	117.59	-1149.17	-0.00	0.00
620000	0.000	0.000	0.000	0	0	0.000	0.008	0.097	111.94	-1149.17	-1.05	0.00
630000	0.000	0.000	0.000	0	0	0.000	0.000	-0.056	117.13	-1149.17	0.00	-12.80
640000	0.000	0.000	0.000	0	0	0.000	0.001	0.048	115.35	-1149.17	-1.11	0.00
650000	0.000	0.000	0.000	0	0	0.000	0.006	-0.143	111.91	-1149.17	-1.15	0.00
660000	0.000	0.000	0.000	0	0	0.000	0.012	-0.053	114.95	-1149.17	-1.22	0.00
670000	0.000	0.000	0.000	0	0	0.000	0.002	-0.084	115.96	-1149.17	0.00	0.00
680000	0.000	0.000	0.000	0	0	0.000	0.004	0.005	117.22	-1149.17	0.00	-12.80
690000	0.000	0.000	0.000	0	0	0.000	0.006	0.021	116.69	-1149.17	0.00	0.00
700000	0.000	0.000	0.000	0	0	0.000	0.001	-0.054	117.18	-1149.17	0.00	-12.89
710000	0.000	0.000	0.000	0	0	0.000	0.008	0.036	116.05	-1149.17	0.00	0.00
720000	0.000	0.000	0.000	0	0	0.000	0.011	-0.020	115.13	-1149.17	0.00	-12.69
730000	0.000	0.000	0.000	0	0	0.000	0.010	0.017	116.05	-1149.17	-1.99	0.00
740000	0.000	0.000	0.000	0	0	0.000	0.004	-0.003	117.19	-1149.17	-0.00	0.00
750000	0.000	0.000	0.000	0	0	0.000	0.014	-0.019	115.36	-1149.17	0.00	-0.19
760000	0.000	0.000	0.000	0	0	0.000	0.002	-0.019	117.37	-1149.17	0.00	-12.77
770000	0.000	0.000	0.000	0	0	0.000	0.008	-0.074	115.08	-1149.17	0.00	0.00
780000	0.000	0.000	0.000	0	0	0.000	0.009	0.012	115.71	-1149.17	0.00	-13.08
790000	0.000	0.000	0.000	0	0	0.000	0.004	-0.025	117.33	-1149.17	0.00	0.00
800000	0.000	0.000	0.000	0	0	0.000	0.012	-0.007	114.61	-1149.17	-1.09	0.00
810000	0.000	0.000	0.000	0	0	0.000	0.007	-0.017	114.24	-1149.17	0.00	-13.23
820000	0.000	0.000	0.000	0	0	0.000	0.005	-0.012	116.78	-1149.17	-0.00	0.00
830000	0.000	0.000	0.000	0	0	0.000	0.009	-0.021	116.39	-1149.17	0.00	-12.94
840000	0.000	0.000	0.000	0	0	0.000	0.012	0.020	115.47	-1149.17	-0.00	0.00
850000	0.000	0.000	0.000	0	0	0.000	0.003	0.034	116.98	-1149.17	0.00	-12.82
860000	0.000	0.000	0.000	0	0	0.000	0.005	0.022	116.69	-1149.17	0.00	0.00
870000	0.000	0.000	0.000	0	0	0.000	0.013	-0.026	115.15	-1149.17	-1.17	0.00
880000	0.000	0.000	0.000	0	0	0.000	0.007	0.019	116.43	-1149.17	0.00	0.00
890000	0.000	0.000	0.000	0	0	0.000	0.001	-0.049	117.18	-1149.17	-1.22	0.00
900000	0.000	0.000	0.000	0	0	0.000	0.003	0.008	114.54	-1149.17	0.00	0.00
910000	0.000	0.000	0.000	0	0	0.000	0.001	0.039	113.80	-1149.17	0.00	-12.44
920000	0.000	0.000	0.000	0	0	0.000	0.000	-0.072	116.46	-1149.17	-1.21	0.00
930000	0.000	0.000	0.000	0	0	0.000	0.005	0.017	117.02	-1149.17	-0.00	0.00
940000	0.000	0.000	0.000	0	0	0.000	0.009	-0.068	115.27	-1149.17	-1.39	0.00
950000	0.000	0.000	0.000	0	0	0.000	0.008	-0.053	115.98	-1149.17	-1.22	0.00
960000	0.000	0.000	0.000	0	0	0.000	0.008	0.017	116.38	-1149.17	-0.00	0.00
970000	0.000	0.000	0.000	0	0	0.000	0.005	-0.027	116.92	-1149.17	-1.07	0.00
