state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
10	0.000	0.000	0.000	0	0	0.000	0.358	-0.392	-15.29	-1107.73	0.00	0.00
20	0.000	0.000	0.000	0	1	0.000	0.358	-0.392	-12.88	-1108.76	0.00	-12.58
30	0.000	0.000	0.000	0	0	0.000	0.358	-0.392	-11.11	-1107.73	0.00	0.00
40	0.000	0.000	0.000	0	0	0.000	0.358	-0.392	-9.14	-1107.73	0.00	0.00
50	0.000	0.000	0.000	0	0	0.000	0.358	0.022	-1.08	-1107.73	0.00	-11.56
60	0.000	0.000	0.000	0	0	0.000	0.358	0.022	0.58	-1107.73	-0.00	0.00
70	0.000	0.000	0.000	0	0	0.000	0.358	0.022	-3.37	-1107.73	0.00	-11.18
80	0.000	0.000	0.000	0	0	0.000	0.358	0.022	-2.60	-1107.73	0.00	-11.30
90	0.000	0.000	0.000	0	0	0.000	0.358	0.022	0.96	-1107.73	0.00	0.00
100	0.000	0.000	0.000	0	2	0.000	0.358	0.022	2.46	-1109.46	0.00	-0.48
110	0.000	0.000	0.000	0	2	0.000	0.358	0.022	2.82	-1109.46	0.00	-12.80
120	0.000	0.000	0.000	0	0	0.000	0.358	0.022	3.08	-1107.73	0.00	-12.89
130	0.000	0.000	0.000	0	0	0.000	0.358	0.022	4.03	-1107.73	0.00	0.00
140	0.000	0.000	0.000	0	0	0.000	0.358	0.022	4.56	-1107.73	-1.04	0.00
150	0.000	0.000	0.000	0	0	0.000	0.358	0.022	4.68	-1107.73	0.00	0.00
160	0.000	0.000	0.000	0	0	0.000	0.358	0.022	4.71	-1107.73	0.00	-15.46
170	0.000	0.000	0.000	0	1	0.000	0.358	0.022	4.70	-1108.76	-0.69	0.00
180	0.000	0.000	0.000	0	2	0.000	0.274	0.019	23.21	-1109.46	0.00	-0.14
190	0.000	0.000	0.000	0	3	0.000	0.274	0.019	25.11	-1109.86	0.00	0.00
200	0.000	0.000	0.000	0	4	0.000	0.159	0.019	62.30	-1110.15	0.00	-15.43
210	0.000	0.000	0.000	0	4	0.000	0.159	0.019	62.00	-1110.15	0.00	0.00
220	0.000	0.000	0.000	0	5	0.000	0.159	0.019	61.62	-1110.37	0.18	0.00
230	0.000	0.000	0.000	0	4	0.000	0.159	0.019	61.62	-1110.15	0.00	0.00
240	0.000	0.000	0.000	0	5	0.000	0.159	0.019	61.36	-1110.37	-0.00	0.00
250	0.000	0.000	0.000	0	5	0.000	0.159	0.019	61.62	-1110.37	0.00	0.00
260	0.000	0.000	0.000	0	4	0.000	0.159	0.019	62.02	-1110.15	0.00	-15.31
270	0.000	0.000	0.000	0	3	0.000	0.159	0.019	62.28	-1109.86	-0.00	0.00
280	0.000	0.000	0.000	0	3	0.000	0.103	0.019	85.76	-1109.86	-0.00	0.13
290	0.000	0.000	0.000	0	2	0.000	0.103	0.019	85.72	-1109.46	0.41	0.00
