state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
10	0.000	0.000	0.000	0	0	0.000	0.854	0.320	-66.40	-1107.73	-0.00	0.00
20	0.000	0.000	0.000	0	0	0.000	0.854	0.320	-66.29	-1107.73	0.00	-12.63
30	0.000	0.000	0.000	0	0	0.000	0.559	0.320	-36.28	-1107.73	-0.00	0.00
40	0.000	0.000	0.000	0	0	0.000	0.559	0.320	-36.39	-1107.73	0.00	0.00
50	0.000	0.000	0.000	0	0	0.000	0.330	0.320	-2.45	-1107.73	0.00	0.00
60	0.000	0.000	0.000	0	0	0.000	0.330	0.320	-3.58	-1107.73	0.00	-12.59
70	0.000	0.000	0.000	0	0	0.000	0.270	0.226	15.03	-1107.73	0.00	-12.18
80	0.000	0.000	0.000	0	0	0.000	0.270	0.226	14.08	-1107.73	0.00	0.00
90	0.000	0.000	0.000	0	0	0.000	0.270	0.226	15.05	-1107.73	0.00	-12.31
100	0.000	0.000	0.000	0	0	0.000	0.165	0.226	42.22	-1107.73	0.00	-12.86
110	0.000	0.000	0.000	0	0	0.000	0.120	0.226	57.80	-1107.73	0.00	0.10
120	0.000	0.000	0.000	0	0	0.000	0.120	0.226	57.54	-1107.73	0.00	-12.07
130	0.000	0.000	0.000	0	0	0.000	0.120	-0.249	57.22	-1107.73	0.00	-12.07
140	0.000	0.000	0.000	0	0	0.000	0.120	0.026	71.50	-1107.73	0.00	-13.76
150	0.000	0.000	0.000	0	0	0.000	0.120	0.020	71.04	-1107.73	0.00	-0.25
160	0.000	0.000	0.000	0	0	0.000	0.120	0.020	71.73	-1107.73	0.00	-13.55
170	0.000	0.000	0.000	0	0	0.000	0.083	0.020	87.30	-1107.73	0.00	-13.49
180	0.000	0.000	0.000	0	0	0.000	0.083	0.020	86.11	-1107.73	-0.00	0.00
190	0.000	0.000	0.000	0	0	0.000	0.049	-0.086	98.39	-1107.73	0.00	-13.33
200	0.000	0.000	0.000	0	0	0.000	0.049	-0.086	96.35	-1107.73	0.00	0.00
210	0.000	0.000	0.000	0	0	0.000	0.049	-0.086	98.42	-1107.73	-0.00	0.00
220	0.000	0.000	0.000	0	0	0.000	0.036	0.043	102.89	-1107.73	0.00	-13.40
230	0.000	0.000	0.000	0	0	0.000	0.036	0.043	103.32	-1107.73	0.00	-13.31
240	0.000	0.000	0.000	0	0	0.000	0.036	0.043	101.43	-1107.73	0.00	0.00
250	0.000	0.000	0.000	0	0	0.000	0.036	0.043	103.39	-1107.73	0.00	-13.29
260	0.000	0.000	0.000	0	0	0.000	0.036	0.043	103.61	-1107.73	0.00	0.00
270	0.000	0.000	0.000	0	0	0.000	0.036	0.043	103.40	-1107.73	0.00	-12.99
280	0.000	0.000	0.000	0	0	0.000	0.036	0.043	103.28	-1107.73	-0.00	0.00
290	0.000	0.000	0.000	0	0	0.000	0.024	0.043	103.50	-1107.73	0.00	0.00
300	0.000	0.000	0.000	0	0	0.000	0.024	0.043	105.96	-1107.73	-0.00	0.00
310	0.000	0.000	0.000	0	0	0.000	0.024	0.047	105.81	-1107.73	0.00	-13.12
320	0.000	0.000	0.000	0	0	0.000	0.024	0.047	105.81	-1107.73	0.00	-13.12
330	0.000	0.000	0.000	0	0	0.000	0.024	0.054	105.78	-1107.73	-0.00	0.00
340	0.000	0.000	0.000	0	0	0.000	0.024	0.054	103.69	-1107.73	0.00	0.00
