state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
10000	0.000	10.924	0.000	1	0	0.000	0.015	0.059	115.04	-40.75	0.00	-6.22
20000	0.000	0.050	0.000	3	0	0.000	0.001	-0.001	123.63	-43.27	-0.00	0.00
30000	0.000	0.023	0.000	1	0	0.000	0.006	-0.014	115.62	-40.75	0.00	-6.32
40000	0.000	12.552	0.000	1	0	0.000	0.007	0.025	117.81	-40.75	0.00	-6.42
50000	0.000	2292.870	0.000	1	0	0.000	0.006	0.050	113.54	-41.11	0.00	-6.01
60000	0.000	7531.439	0.000	1	0	0.000	0.001	0.078	114.05	-41.20	-0.91	-0.69
70000	0.000	4436.569	0.000	1	0	0.000	0.000	0.086	113.96	-41.16	0.00	-0.57
80000	0.000	44900.912	0.000	1	0	0.000	0.004	0.032	114.59	-41.34	-0.00	0.00
90000	0.000	22062.489	0.000	2	0	0.000	0.002	-0.057	114.07	-42.35	0.00	-6.10
100000	0.000	976967.431	0.000	1	0	0.000	0.017	0.002	107.90	-41.59	-1.69	-0.69
110000	0.000	34371998.257	0.000	1	0	0.000	0.001	-0.076	108.95	-41.88	-2.26	-0.69
120000	0.000	213164.711	0.000	1	0	0.000	0.000	-0.010	113.65	-41.47	0.00	-6.55
130000	0.000	13726.650	0.000	1	0	0.000	0.017	-0.018	110.51	-41.25	-0.00	0.00
140000	0.000	925410.113	0.000	1	0	0.000	0.004	-0.027	113.18	-41.59	0.00	-6.19
150000	0.000	86228.424	0.000	1	0	0.000	0.000	-0.057	109.64	-41.40	-0.03	0.00
160000	0.000	7752.722	0.000	1	0	0.000	0.003	-0.038	115.80	-41.20	-0.92	-0.69
170000	0.000	31104.225	0.000	1	0	0.000	0.005	-0.055	114.19	-41.32	-1.14	-0.69
180000	0.000	4181.356	0.000	1	0	0.000	0.003	0.107	111.47	-41.15	-0.00	0.00
190000	0.000	714.183	0.000	1	0	0.000	0.011	-0.064	113.14	-41.01	-0.54	-0.69
200000	0.000	1.350	0.000	2	0	0.000	0.005	0.024	120.39	-41.80	0.00	-6.30
210000	0.000	14.369	0.000	1	0	0.000	0.010	-0.032	116.99	-40.76	-0.02	-0.69
220000	0.000	240.323	0.000	1	0	0.000	0.007	0.021	116.66	-40.93	0.00	-0.13
230000	0.000	9312.176	0.000	1	0	0.000	0.002	-0.067	114.59	-41.22	0.00	-6.13
240000	0.000	16301.810	0.000	1	0	0.000	0.002	-0.094	113.37	-41.26	-1.04	-0.69
250000	0.000	20284.816	0.000	1	0	0.000	0.004	0.016	114.82	-41.28	0.00	0.30
260000	0.000	1097786.037	0.000	1	0	0.000	0.001	-0.043	112.95	-41.60	0.00	-6.13
270000	0.000	1636248519.987	0.000	1	0	0.000	0.007	0.013	108.60	-42.18	0.00	-0.07
280000	0.000	134536055376.524	0.000	1	0	0.000	0.001	-0.015	108.00	-42.54	0.00	-0.38
290000	0.000	442164117454.301	0.000	1	0	0.000	0.002	0.011	107.30	-42.63	0.00	-6.34
300000	0.000	3414503095655.105	0.000	2	0	0.000	0.008	0.081	101.99	-43.86	0.00	-6.40
310000	0.000	4122427001701.061	0.000	1	0	0.000	0.004	-0.015	105.69	-42.81	0.04	0.00
320000	0.000	2000915561259.398	0.000	1	0	0.000	0.003	0.009	105.71	-42.75	-4.02	-0.69
330000	0.000	2208259471307.495	0.000	2	0	0.000	0.009	0.068	101.04	-43.82	-0.00	0.00
340000	0.000	6330608006070.639	0.000	2	0	0.000	0.000	-0.030	99.51	-43.94	0.00	0.00
350000	0.000	26757062933.389	0.000	2	0	0.000	0.010	0.007	103.49	-43.47	-0.00	0.00
360000	0.000	532132.333	0.000	1	0	0.000	0.002	0.021	112.88	-41.54	0.00	-6.54
370000	0.000	1584135.911	0.000	2	0	0.000	0.002	0.042	109.73	-42.69	-0.00	0.00
380000	0.000	6162.905	0.000	2	0	0.000	0.004	-0.072	110.60	-42.25	0.03	0.00
