state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
10000	0.000	2.447	0.000	1	0	0.000	0.019	-0.013	99.07	-39.86	0.00	0.00
20000	0.000	2.482	0.000	1	0	0.000	0.020	0.059	97.42	-39.86	-0.00	0.00
30000	0.000	0.277	0.000	1	0	0.000	0.020	0.079	96.75	-39.86	0.00	-5.91
40000	0.000	0.068	0.000	1	0	0.000	0.035	0.018	98.99	-39.86	0.00	-6.17
50000	0.000	0.000	0.000	0	0	0.000	0.012	-0.114	97.71	-39.50	-0.00	0.00
60000	0.000	0.000	0.000	0	0	0.000	0.013	0.039	100.71	-39.50	0.00	0.00
70000	0.000	0.436	0.000	1	0	0.000	0.024	-0.019	103.59	-39.86	-0.00	0.00
80000	0.000	1.275	0.000	1	0	0.000	0.015	0.012	102.73	-39.86	-0.00	0.00
90000	0.000	0.121	0.000	1	0	0.000	0.020	-0.000	104.38	-39.86	-0.00	0.00
100000	0.000	3.209	0.000	1	0	0.000	0.026	-0.040	101.46	-39.86	-0.00	0.00
110000	0.000	39.185	0.000	2	0	0.000	0.021	0.030	101.28	-40.97	-0.00	0.00
120000	0.000	1.316	0.000	1	0	0.000	0.033	-0.025	102.03	-39.86	0.00	-6.42
130000	0.000	140.661	0.000	1	0	0.000	0.022	-0.024	96.98	-40.00	0.07	0.00
140000	0.000	5365.554	0.000	1	0	0.000	0.012	-0.017	97.80	-40.29	-0.00	0.00
150000	0.000	948.846	0.000	1	0	0.000	0.021	-0.003	100.02	-40.16	0.00	-6.52
160000	0.000	76.411	0.000	1	0	0.000	0.021	-0.016	101.24	-39.96	-0.00	0.00
170000	0.000	6.785	0.000	1	0	0.000	0.020	-0.040	100.53	-39.87	0.00	-6.03
180000	0.000	0.294	0.000	1	0	0.000	0.023	0.035	102.57	-39.86	-0.00	0.00
190000	0.000	2.672	0.000	1	0	0.000	0.027	-0.051	97.95	-39.86	0.00	-6.35
200000	0.000	18.932	0.000	1	0	0.000	0.025	-0.015	100.68	-39.88	-0.00	0.00
210000	0.000	0.517	0.000	2	0	0.000	0.021	0.044	100.70	-40.92	-0.00	-0.69
