state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
10000	0.000	0.000	0.000	1	0	0.000	0.031	0.023	125.49	-39.86	0.00	-7.58
20000	0.000	0.000	0.000	0	0	0.000	0.022	0.030	117.66	-39.50	0.00	-6.47
30000	0.000	0.000	0.000	0	0	0.000	0.033	-0.032	117.02	-39.50	-0.00	0.00
40000	0.000	0.000	0.000	0	0	0.000	0.031	-0.007	118.93	-39.50	0.00	-6.88
50000	0.000	0.003	0.000	2	0	0.000	0.036	0.030	129.09	-40.92	0.00	-8.08
60000	0.000	0.000	0.000	1	0	0.000	0.026	0.063	124.32	-39.86	0.00	0.69
70000	0.000	0.000	0.000	1	0	0.000	0.027	0.006	123.23	-39.86	-0.00	0.26
80000	0.000	0.000	0.000	0	0	0.000	0.031	0.018	118.21	-39.50	0.00	0.00
90000	0.000	0.000	0.000	1	0	0.000	0.034	-0.012	120.12	-39.86	0.00	-7.25
100000	0.000	0.000	0.000	0	0	0.000	0.028	-0.004	119.47	-39.50	0.00	-6.96
110000	0.000	0.000	0.000	0	0	0.000	0.031	0.013	119.24	-39.50	-0.00	0.00
120000	0.000	0.022	0.000	2	0	0.000	0.027	0.010	128.02	-40.92	-0.00	-0.69
130000	0.000	0.120	0.000	2	0	0.000	0.036	0.034	123.65	-40.92	0.00	-0.16
140000	0.000	0.000	0.000	2	0	0.000	0.035	0.032	128.74	-40.92	0.00	-7.56
150000	0.000	0.000	0.000	0	0	0.000	0.031	0.020	119.82	-39.50	0.00	-7.07
160000	0.000	0.000	0.000	1	0	0.000	0.030	0.030	125.52	-39.86	-0.00	0.00
170000	0.000	0.000	0.000	0	0	0.000	0.028	0.029	118.13	-39.50	0.00	-6.55
180000	0.000	0.100	0.000	1	0	0.000	0.030	0.064	118.42	-39.86	-0.00	0.00
190000	0.000	0.017	0.000	2	0	0.000	0.035	-0.001	126.44	-40.92	0.00	-7.72
200000	0.000	0.000	0.000	1	0	0.000	0.026	-0.006	122.41	-39.86	-0.00	0.00
210000	0.000	0.826	0.000	2	0	0.000	0.030	0.045	126.37	-40.92	-0.00	0.00
220000	0.000	0.700	0.000	2	0	0.000	0.025	0.027	126.87	-40.92	-0.00	0.00
230000	0.000	0.000	0.000	1	0	0.000	0.033	0.039	125.12	-39.86	-0.00	-0.69
240000	0.000	0.000	0.000	0	0	0.000	0.031	0.003	115.90	-39.50	0.00	-6.40
250000	0.000	0.000	0.000	1	0	0.000	0.024	-0.000	124.14	-39.86	-0.00	0.00
260000	0.000	0.000	0.000	0	0	0.000	0.035	-0.009	116.62	-39.50	0.00	-7.58
270000	0.000	0.000	0.000	0	0	0.000	0.037	0.029	118.82	-39.50	0.00	0.00
280000	0.000	0.259	0.000	3	0	0.000	0.044	0.031	115.41	-42.39	-0.00	0.00
290000	0.000	0.000	0.000	2	0	0.000	0.035	0.004	128.44	-40.92	0.00	-0.38
300000	0.000	0.010	0.000	1	0	0.000	0.023	-0.009	119.95	-39.86	0.00	-7.35
310000	0.000	0.093	0.000	2	0	0.000	0.033	0.047	125.11	-40.92	0.00	0.69
320000	0.000	0.036	0.000	2	0	0.000	0.034	0.026	128.26	-40.92	0.00	-8.24
330000	0.000	0.000	0.000	0	0	0.000	0.029	0.076	117.20	-39.50	-0.00	0.00
340000	0.000	0.000	0.000	0	0	0.000	0.025	0.027	119.79	-39.50	0.00	-6.82
350000	0.000	0.001	0.000	1	0	0.000	0.035	0.049	123.68	-39.86	-0.00	0.07
360000	0.000	0.000	0.000	2	0	0.000	0.027	0.015	130.20	-40.92	-0.00	0.50
370000	0.000	0.000	0.000	0	0	0.000	0.032	-0.015	118.54	-39.50	0.00	0.00
380000	0.000	0.000	0.000	0	0	0.000	0.023	-0.016	118.53	-39.50	0.00	-6.77
390000	0.000	0.000	0.000	0	0	0.000	0.031	0.054	118.18	-39.50	0.00	-6.70
400000	0.000	0.000	0.000	0	0	0.000	0.032	0.010	118.13	-39.50	0.00	0.00
410000	0.000	0.003	0.000	2	0	0.000	0.037	0.008	127.96	-40.92	-0.00	-0.69
420000	0.000	0.015	0.000	2	0	0.000	0.027	0.030	128.72	-40.92	-0.00	-0.69
430000	0.000	0.000	0.000	2	0	0.000	0.023	0.002	124.56	-40.92	0.00	0.69
440000	0.000	0.235	0.000	2	0	0.000	0.026	0.020	126.84	-40.92	-0.00	0.00
450000	0.000	0.524	0.000	3	0	0.000	0.021	0.052	126.27	-42.39	0.00	-7.51
