state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
10	1.668	1.668	1.668	0	0	0.000	0.792	0.470	-40.71	-334.13	0.00	0.00
20	1.701	1.701	1.701	0	0	0.000	0.497	0.655	-38.64	-334.14	-0.04	0.00
30	1.301	1.301	1.301	0	0	0.000	0.166	0.648	-35.78	-334.12	-0.00	0.00
40	0.889	0.889	0.889	0	0	0.000	0.166	0.648	-36.70	-334.10	0.02	0.00
50	0.964	0.964	0.964	0	0	0.000	0.181	0.762	-36.55	-334.10	0.00	0.00
60	1.536	1.536	1.536	0	0	0.000	0.113	0.762	-35.67	-334.13	0.00	0.00
70	2.022	2.022	2.022	0	0	0.000	0.113	0.762	-36.52	-334.15	-0.00	0.00
80	0.858	0.858	0.858	0	0	0.000	0.113	0.668	-36.55	-334.10	0.00	0.00
90	1.676	1.676	1.676	0	0	0.000	0.113	0.513	-35.74	-334.13	0.00	0.00
100	1.286	1.286	1.286	0	0	0.000	0.149	0.513	-35.58	-334.12	-0.01	0.00
110	1.857	1.857	1.857	0	0	0.000	0.120	0.513	-36.11	-334.14	-0.03	0.00
120	0.992	0.992	0.992	0	0	0.000	0.120	0.513	-35.81	-334.10	-0.00	0.00
130	1.350	1.350	1.350	0	0	0.000	0.120	0.513	-35.41	-334.12	-0.00	0.00
140	1.103	1.103	1.103	0	0	0.000	0.182	0.513	-35.96	-334.11	-0.01	0.00
150	1.987	1.987	1.987	0	0	0.000	0.102	0.508	-36.29	-334.15	-0.03	0.00
160	2.222	2.222	2.222	0	0	0.000	0.102	0.774	-36.91	-334.16	-0.02	0.00
170	0.935	0.935	0.935	0	0	0.000	0.134	0.677	-36.27	-334.10	0.00	-0.13
180	1.352	1.352	1.352	0	0	0.000	0.147	0.677	-35.68	-334.12	0.02	0.00
190	1.018	1.018	1.018	0	0	0.000	0.147	0.674	-36.03	-334.10	0.03	0.00
200	0.949	0.949	0.949	0	0	0.000	0.199	0.180	-36.34	-334.10	0.00	-0.37
210	1.594	1.594	1.594	0	0	0.000	0.206	0.149	-36.09	-334.13	0.02	0.00
220	0.638	0.638	0.638	0	0	0.000	0.206	0.145	-39.12	-334.09	0.03	0.00
230	0.779	0.779	0.779	0	0	0.000	0.206	0.145	-37.42	-334.09	0.01	0.00
240	1.335	1.335	1.335	0	0	0.000	0.204	0.129	-35.83	-334.12	0.00	-0.11
250	2.021	2.021	2.021	0	0	0.000	0.204	0.129	-36.83	-334.15	-0.03	0.00
260	1.073	1.073	1.073	0	0	0.000	0.087	0.129	-35.22	-334.11	0.02	0.00
270	1.038	1.038	1.038	0	0	0.000	0.087	0.150	-35.30	-334.10	0.02	0.00
