state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
500	0.058	0.058	0.058	0	4	30.597	0.110	0.085	-20.38	-2768.34	-0.00	0.00
1000	0.056	0.056	0.056	0	5	44.834	0.013	0.022	13.67	-2768.68	0.00	0.00
1500	0.023	0.023	0.023	0	4	8.258	0.017	0.217	75.41	-2768.21	0.00	-0.37
2000	0.029	0.029	0.029	0	5	123.702	0.010	0.212	80.28	-2769.14	-0.31	0.00
2500	0.021	0.021	0.021	0	5	44.940	0.012	-0.058	93.55	-2768.66	0.00	0.00
3000	0.028	0.028	0.028	0	5	23.419	0.003	-0.392	94.73	-2768.54	-0.21	0.00
3500	0.019	0.019	0.019	0	6	2.737	0.002	-0.125	128.35	-2768.59	-0.00	0.00
4000	0.015	0.015	0.015	0	7	4.298	0.001	0.034	128.93	-2768.76	0.00	0.00
4500	0.015	0.015	0.015	0	6	5.352	0.000	0.012	132.15	-2768.61	0.01	-0.34
5000	0.014	0.014	0.014	0	6	60.686	0.003	-0.109	142.67	-2769.00	0.00	0.00
5500	0.012	0.012	0.012	0	6	15.238	0.002	-0.146	144.83	-2768.68	0.00	0.00
6000	0.013	0.013	0.013	0	6	12.704	0.003	-0.131	145.35	-2768.66	0.00	0.00
6500	0.010	0.010	0.010	0	9	9.245	0.004	0.151	158.33	-2769.07	-0.00	0.00
7000	0.012	0.012	0.012	0	11	10.501	0.003	-0.124	155.50	-2769.30	0.00	0.00
7500	0.012	0.012	0.012	0	8	28.241	0.001	-0.015	157.31	-2769.11	-0.15	0.00
8000	0.012	0.012	0.012	0	9	8.012	0.003	-0.225	159.22	-2769.06	-0.00	0.00
8500	0.013	0.013	0.013	0	7	4.435	0.001	-0.357	162.79	-2768.76	0.00	0.33
9000	0.011	0.011	0.011	0	6	2.719	0.001	-0.024	165.48	-2768.59	-0.16	0.00
9500	0.012	0.012	0.012	0	6	29.817	0.001	0.001	162.43	-2768.78	0.00	0.00
10000	0.012	0.012	0.012	0	8	1.940	0.001	-0.224	161.40	-2768.88	0.00	0.00
10500	0.010	0.010	0.010	0	7	12.732	0.002	-0.258	164.96	-2768.83	-0.00	0.00
11000	0.010	0.010	0.010	0	7	5.406	0.003	-0.122	165.15	-2768.77	-0.14	0.00
11500	0.011	0.011	0.011	0	6	3.435	0.006	-0.175	164.36	-2768.60	0.00	0.00
12000	0.011	0.011	0.011	0	7	3.238	0.006	-0.130	164.77	-2768.75	0.00	0.00
12500	0.009	0.009	0.009	0	7	8.695	0.012	-0.053	164.18	-2768.79	0.00	0.00
13000	0.011	0.011	0.011	0	9	6.866	0.002	-0.318	166.36	-2769.05	0.00	0.00
13500	0.013	0.013	0.013	0	9	1.862	0.004	-0.178	157.66	-2769.00	0.00	0.00
14000	0.011	0.011	0.011	0	8	5.402	0.003	-0.105	162.69	-2768.91	-0.00	0.00
14500	0.009	0.009	0.009	0	6	9.956	0.002	-0.071	163.29	-2768.64	0.19	0.00
15000	0.010	0.010	0.010	0	7	2.767	0.001	-0.131	170.93	-2768.75	-0.00	0.00
15500	0.009	0.009	0.009	0	7	7.377	0.001	-0.219	166.59	-2768.78	0.00	0.00
16000	0.011	0.011	0.011	0	11	2.403	0.005	-0.121	165.67	-2769.21	0.01	-0.31
16500	0.009	0.009	0.009	0	15	2.204	0.005	-0.132	165.44	-2769.52	0.07	0.00
17000	0.010	0.010	0.010	0	13	4.915	0.009	-0.138	158.36	-2769.41	0.00	0.00
17500	0.011	0.011	0.011	0	7	5.334	0.002	0.047	168.09	-2768.77	0.00	0.00
18000	0.010	0.010	0.010	0	7	4.084	0.000	-0.219	171.02	-2768.76	0.01	-0.30
18500	0.009	0.009	0.009	0	10	3.821	0.000	-0.349	163.20	-2769.12	0.00	0.00
19000	0.010	0.010	0.010	0	11	3.844	0.000	-0.133	163.44	-2769.22	0.00	0.38
19500	0.009	0.009	0.009	0	12	4.659	0.000	-0.074	164.76	-2769.32	0.09	0.00
20000	0.011	0.011	0.011	0	6	4.697	0.000	-0.209	167.02	-2768.60	0.00	0.00
