state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
500	0.003	2.802	0.028	3	0	0.000	0.069	0.180	90.54	-2768.50	0.00	-6.06
1000	0.004	3.831	0.010	5	0	0.000	0.018	-0.381	155.31	-2772.22	0.00	0.22
1500	0.005	4.756	0.007	5	0	0.000	0.012	-0.068	183.82	-2772.22	-0.00	-0.69
2000	0.007	4.179	0.012	3	0	0.000	0.002	-0.057	182.64	-2768.50	0.00	0.69
2500	0.009	3.875	0.009	2	0	0.000	0.003	-0.184	185.42	-2767.04	-0.01	-0.69
3000	0.009	2.345	0.009	2	0	0.000	0.002	0.166	181.27	-2767.03	0.00	-6.83
3500	0.008	1.547	0.008	2	0	0.000	0.002	-0.023	185.50	-2767.04	0.00	-6.89
4000	0.009	2.738	0.009	2	0	0.000	0.000	-0.298	185.63	-2767.04	-0.00	0.39
4500	0.009	0.906	0.009	1	0	0.000	0.000	-0.278	185.74	-2765.97	0.00	-6.73
5000	0.009	1.338	0.009	1	0	0.000	0.000	-0.345	183.77	-2765.98	-0.08	0.00
5500	0.012	0.628	0.012	1	0	0.000	0.000	-0.085	182.98	-2765.97	-0.00	-0.69
6000	0.007	0.933	0.007	1	0	0.000	0.000	-0.066	184.79	-2765.97	0.00	-7.01
6500	0.008	0.251	0.008	1	0	0.000	0.000	0.002	184.00	-2765.96	0.00	0.69
7000	0.010	0.485	0.010	1	0	0.000	0.001	-0.076	186.30	-2765.97	0.00	-6.67
7500	0.008	0.938	0.008	1	0	0.000	0.001	-0.272	185.45	-2765.97	0.00	-6.89
8000	0.008	1.165	0.008	1	0	0.000	0.000	-0.130	186.48	-2765.98	-0.01	-0.69
8500	0.009	0.961	0.009	1	0	0.000	0.001	-0.158	186.92	-2765.97	0.01	0.69
9000	0.009	0.634	0.009	1	0	0.000	0.001	-0.198	186.99	-2765.97	0.00	-6.77
9500	0.008	0.671	0.008	1	0	0.000	0.001	-0.337	184.53	-2765.97	0.00	-6.85
10000	0.008	0.758	0.008	1	0	0.000	0.000	-0.050	186.95	-2765.97	-0.00	-0.69
10500	0.010	0.798	0.010	1	0	0.000	0.002	-0.287	184.70	-2765.97	-0.03	0.00
11000	0.008	0.637	0.008	1	0	0.000	0.001	-0.205	185.92	-2765.97	-0.07	0.00
11500	0.008	1.277	0.008	1	0	0.000	0.005	-0.085	183.91	-2765.98	0.00	-6.93
12000	0.009	1.021	0.009	1	0	0.000	0.005	-0.106	184.94	-2765.97	0.00	-6.79
12500	0.008	1.457	0.008	1	0	0.000	0.005	-0.140	184.12	-2765.98	-0.01	0.00
13000	0.008	0.842	0.008	2	0	0.000	0.020	-0.168	181.62	-2767.03	-0.00	0.00
13500	0.008	0.602	0.008	2	0	0.000	0.007	-0.204	185.30	-2767.03	0.01	0.69
14000	0.010	0.688	0.010	1	0	0.000	0.006	-0.144	183.48	-2765.97	0.00	-8.66
14500	0.011	0.572	0.011	1	0	0.000	0.002	-0.076	184.76	-2765.97	-0.00	-0.69
15000	0.008	0.440	0.008	1	0	0.000	0.001	0.037	185.08	-2765.96	0.00	-6.86
15500	0.010	0.436	0.010	1	0	0.000	0.002	-0.426	180.99	-2765.96	0.00	0.69
16000	0.011	1.406	0.011	1	0	0.000	0.001	-0.053	183.94	-2765.98	-0.15	0.00
16500	0.009	1.814	0.009	1	0	0.000	0.001	0.017	184.21	-2765.99	-0.01	0.00
17000	0.008	1.996	0.008	1	0	0.000	0.000	-0.025	184.52	-2765.99	-0.00	0.00
17500	0.009	2.679	0.009	1	0	0.000	0.000	-0.189	184.02	-2766.00	0.00	-0.40
18000	0.008	1.451	0.008	1	0	0.000	0.000	-0.108	185.76	-2765.98	0.00	-6.90
18500	0.009	1.745	0.009	1	0	0.000	0.000	-0.090	185.38	-2765.99	-0.01	-0.69
19000	0.009	0.950	0.009	1	0	0.000	0.000	-0.078	186.91	-2765.97	-0.17	0.00
19500	0.008	0.482	0.008	1	0	0.000	0.000	-0.166	187.10	-2765.96	-0.00	-0.69
20000	0.008	0.938	0.008	1	0	0.000	0.000	-0.120	187.09	-2765.97	0.00	-6.84
